slug,title,description,type,cuisine,difficulty,prep_minutes,cook_minutes,total_minutes,serving_count,average_calories,ingredients,ingredient_count,steps,step_count,allergens,tags,tipNote,servingSuggestion
ful-medames,Ful Medames,"Mısır usulü ful medames, baklayı zeytinyağı, kimyon ve limonla kahvaltılık bir ezmeye çevirir.",KAHVALTI,me,EASY,15,30,45,4,300,Haşlanmış bakla 500 gr | Kimyon 1 tatlı kaşığı | Limon suyu 3 yemek kaşığı | Zeytinyağı 4 yemek kaşığı,4,1. Baklayı tencerede 20 dakika ısıtın. || 2. Baklayı ezip kimyon ve limonla karıştırın. || 3. Zeytinyağı gezdirip servis edin.,3,,"vegan,vejetaryen",,"Zeytinyağı, limon ve pita ekmek ile servis edin."
furikake-popcorn,Furikake Popcorn,"Japon sinema gecesi havasında, yosun ve susamlı furikake patlamış mısırı tuzlu-umami yapar.",ATISTIRMALIK,jp,EASY,5,8,13,4,120,Patlamış mısır 100 gr | Ayçiçek yağı 2 yemek kaşığı | Furikake 2 yemek kaşığı | Tuz 1 çay kaşığı,4,1. Mısırı yağla tencerede patlatın. || 2. Sıcakken furikake ve tuz ekleyin. || 3. Kaseye alıp hemen servis edin.,3,SUSAM,"30-dakika-alti,vejetaryen,vegan",Furikakeyi mısır sıcakken ekleyin; yağ baharatı tanelere yapıştırır.,Geniş kasede sıcak servis edin.
gaeng-daeng,Gaeng Daeng,"Tay kırmızı körisi gaeng daeng, tavuk ve hindistan cevizi sütünü kokulu bir köri sosunda yumuşatır.",YEMEK,th,MEDIUM,20,25,45,4,410,Tavuk göğsü 600 gr | Hindistan cevizi sütü 400 ml | Kırmızı köri ezmesi 2 yemek kaşığı | Balık sosu 1 yemek kaşığı,4,1. Köri ezmesini tencerede 2 dakika kavurun. || 2. Tavuk ve hindistan cevizi sütünü ekleyin. || 3. Sosu 20-25 dakika pişirin.,3,DENIZ_URUNLERI,yuksek-protein,Köri ezmesini hindistan cevizi sütünden önce kuru kavurun; yağı çıkınca aroma katlanır.,Jasmine pirinç ile servis edin.
galaktoboureko,Galaktoboureko,"Yunan irmikli muhallebisi ince yufkaların arasında pişer, limonlu şerbetle parlak bir tatlı olur.",TATLI,gr,HARD,40,45,85,10,420,Baklava yufkası 12 adet | Süt 1 litre | İrmik 150 gr | Yumurta 3 adet | Şeker 350 gr,5,"1. Süt, irmik, şeker ve yumurtayla muhallebi pişirin. || 2. Yufkaları tepsiye dizip muhallebiyi arasına yayın. || 3. 180°C fırında 45 dakika pişirip limonlu şerbet dökün.",3,"GLUTEN,SUT,YUMURTA","misafir-sofrasi,vejetaryen",,
galbi,Galbi,Kore barbeküsünün armutla yumuşatılan kaburga klasiği; ızgarada karamelize kenarlar lezzetin imzasıdır.,YEMEK,kr,MEDIUM,20,15,35,4,540,Dana kaburga 800 gr | Armut püresi 120 gr — Marine için | Soya sosu 80 ml — Marine için | Susam yağı 1 yemek kaşığı — Marine için | Esmer şeker 1 yemek kaşığı — Marine için,5,"1. Armut püresi, soya sosu, susam yağı ve şekeri karıştırıp eti marine edin. || 2. Marine edilmiş kaburgayı kızgın ızgarada her yüzü 4 dakika pişirin. || 3. Etleri 5 dakika dinlendirip dilimleyin.",3,"SOYA,SUSAM","yuksek-protein,misafir-sofrasi",Eti en az 4 saat marine edin; armut suyu lifleri yumuşatır ve hızlı pişirmeye hazırlar.,"Marul yaprağı, pirinç pilavı ve salatalık turşusu ile sunun."
gavurdagi-salatasi,Gavurdağı Salatası,"İnce doğranmış domates, biber ve cevizle hazırlanan nar ekşili Antep salatası.",SALATA,tr,EASY,15,0,15,4,180,Domates 4 adet | Yeşil biber 2 adet | Kırmızı soğan 1 adet | Maydanoz 0.5 demet | Ceviz içi 0.5 su bardağı | Nar ekşisi 3 yemek kaşığı | Zeytinyağı 3 yemek kaşığı | Tuz 1 çay kaşığı | Sumak 1 çay kaşığı,9,"1. Domates, biber ve kırmızı soğanı küçük küpler halinde doğrayın. || 2. Maydanozu ince kıyın, cevizi bıçakla iri parçalayın. || 3. Nar ekşisi, zeytinyağı, tuz ve sumağı kapta karıştırın. || 4. Sebzeleri sosla harmanlayın ve cevizi en son ekleyin.",4,KUSUYEMIS,"vegan,30-dakika-alti,yaz-tarifi,vejetaryen",Sebzeleri bıçakla küçük küpler halinde doğrayın; robot sulandırır ve salatanın dokusunu bozar.,Kebap ve lahmacun yanında servis edin.
gaziantep-omac,Gaziantep Omaç,"Gaziantep omaç, kuru yufka, domates, biber ve zeytinyağıyla yoğrulan pratik bir yöresel salatadır.",SALATA,tr,EASY,20,0,20,4,210,Kuru yufka 3 adet | Domates 4 adet | Yeşil biber 2 adet | Zeytinyağı 4 yemek kaşığı,4,1. Yufkaları küçük parçalara kırın. || 2. Domates ve biberi ince doğrayın. || 3. Tüm malzemeleri 5 dakika yoğurun.,3,GLUTEN,"vegan,30-dakika-alti,vejetaryen",Yufkayı domates suyuyla yumuşatın; ayrıca su eklemek salatayı hamurlaştırır.,Ayran ve közlenmiş biberle öğle öğünü olarak servis edin.
gaziantep-siveydiz,Gaziantep Şiveydiz,"Gaziantep bahar sofralarında taze sarımsak, kuzu eti ve yoğurt aynı tencerede buluşur.",YEMEK,tr,MEDIUM,25,60,85,6,330,Kuzu kuşbaşı 600 gr | Taze sarımsak 500 gr | Nohut 1 su bardağı | Yoğurt 600 gr | Yumurta 1 adet,5,1. Kuzu eti ve nohudu 45 dakika pişirin. || 2. Taze sarımsağı ekleyip 15 dakika pişirin. || 3. Yoğurt ve yumurtayı çırpıp yemeğe ekleyin.,3,"SUT,YUMURTA",misafir-sofrasi,Yoğurdu yemeğe eklerken tencereden sıcak suyla ılıtın; pürüzsüz kıvam korunur.,Tereyağlı nane ile servis edin.
gazpacho,Gazpacho,"Endülüs yazlarından domates, salatalık ve biberle hazırlanan soğuk, canlı sebze çorbası.",CORBA,es,EASY,15,0,15,4,80,Domates 6 adet | Salatalık 1 adet | Kırmızı biber 1 adet | Sarımsak 1 diş | Zeytinyağı 3 yemek kaşığı | Tuz 1 çay kaşığı,6,1. Sebzeleri iri doğrayın. || 2. Sebzeleri zeytinyağı ve tuzla blenderdan geçirin. || 3. Çorbayı buzdolabında 60 dakika soğutun.,3,,"vegan,yaz-tarifi,pratik,vejetaryen",Çorbayı servis öncesi 1 saat soğutun; sebze tadı toparlanır.,Küp doğranmış salatalıkla servis edin.
gendime-corbasi,Gendime Çorbası,"Doğu Anadolu gendime çorbası aşurelik buğday, yoğurt ve nane ile tok bir kış kasesi olur.",CORBA,tr,MEDIUM,20,70,90,6,210,Aşurelik buğday 1 su bardağı | Yoğurt 500 gr | Yumurta 1 adet | Nane 1 tatlı kaşığı,4,1. Buğdayı 60 dakika haşlayın. || 2. Yoğurt ve yumurtayı çırpıp çorbaya alıştırarak ekleyin. || 3. Nane ekleyip 10 dakika pişirin.,3,"GLUTEN,SUT,YUMURTA","kis-tarifi,vejetaryen",,
general-tso-tavuk,General Tso Tavuk,"Çin-Amerikan lokanta klasiği General Tso tavuk, çıtır parçaları parlak acı tatlı sosla kaplar.",YEMEK,cn,MEDIUM,25,20,45,4,510,Tavuk göğsü 600 gr | Mısır nişastası 100 gr | Soya sosu 4 yemek kaşığı | Pirinç sirkesi 2 yemek kaşığı,4,1. Tavuğu küp doğrayıp nişastaya bulayın. || 2. Parçaları kızgın yağda 8 dakika kızartın. || 3. Soya soslu sosta 5 dakika çevirin.,3,SOYA,misafir-sofrasi,"Tavuğu kızarttıktan sonra yağını süzün; sosla buluşturduğunuzda kaplama çıtır kalır, yumuşamaz.",Buharda pişmiş pirinç ile servis edin.
gigantes-plaki,Gigantes Plaki,"Fırında ağır ağır pişen gigantes plaki, iri fasulyeyi domates ve zeytinyağıyla Ege usulü sakin bir ana yemeğe çevirir.",YEMEK,gr,MEDIUM,20,70,90,6,270,İri kuru fasulye 500 gr | Domates rendesi 400 ml | Soğan 2 adet | Zeytinyağı 4 yemek kaşığı,4,1. Fasulyeyi bir gece ıslatıp 35 dakika haşlayın. || 2. Soğanı zeytinyağında çevirip domates rendesini ekleyin. || 3. Fasulye ve sosu 190°C fırında 35 dakika pişirin.,3,,"vegan,tek-tencere,vejetaryen",Fasulyeyi haşlarken tamamen dağıtmayın; fırında sosu çekerken formunu koruması gerekir.,Üzerine maydanoz ve az limon gezdirip ılık servis edin.
gilda-pintxos,Gilda Pintxos,"Bask barlarının en sade pintxosu, zeytin, hamsi ve turşu biberle tek lokmada tuzlu-asitli bir denge kurar.",APERATIF,es,EASY,10,0,10,6,95,Yeşil zeytin 18 adet | Hamsi fileto 12 adet | Turşu biber 12 adet,3,"1. Hamsileri ve biberleri süzüp fazla suyunu alın. || 2. Her şişe bir biber, bir hamsi ve bir zeytin geçirin. || 3. Şişleri servis tabağına dizip bekletmeden sunun.",3,DENIZ_URUNLERI,"pratik,misafir-sofrasi,30-dakika-alti",Hamsiyi kağıt havluyla hafifçe kurularsanız şişler daha temiz ve dengeli kalır.,Soğuk vermut ya da limonlu soda ile birlikte sunun.
gin-tonik,Gin Tonik,Cin ve tonik suyunun mükemmel birleşimi. Basit ama şık.,KOKTEYL,tr,EASY,2,0,2,1,170,Gin 50 ml | Tonik suyu 150 ml | Buz 5 adet | Lime dilimi 1 adet,4,"1. Bardağa buz doldurun. || 2. Gin'i ekleyin, tonik suyu yavaşça gezdirin. || 3. Lime dilimi ile süsleyin.",3,,"alkollu,30-dakika-alti,pratik,vejetaryen,vegan",İyi kalite tonik suyu farkı büyük.,
giresun-fasulye-tursusu-kavurmasi,Giresun Fasulye Turşusu Kavurması,"Giresun fasulye turşusu kavurması, ekşi turşuyu soğanla sofralık sıcak mezeye çevirir.",YEMEK,tr,EASY,15,18,33,4,170,Fasulye turşusu 600 gr | Soğan 2 adet | Zeytinyağı 4 yemek kaşığı | Pul biber 1 çay kaşığı,4,1. Turşuyu suda bekletip süzün. || 2. Soğanı zeytinyağında 8 dakika kavurun. || 3. Turşuyu ekleyip 10 dakika çevirin.,3,,"vegan,vejetaryen",Turşuyu 10 dakika suda bekletin; fazla tuz tadı sertleştirir.,Mısır ekmeği ve yoğurtla sıcak servis edin.
gnocchi-alla-sorrentina,Gnocchi Alla Sorrentina,"Sorrento kıyılarından domates sosu, patates gnocchi ve erimiş mozzarella ile fırınlanan İtalyan klasiği.",YEMEK,it,MEDIUM,25,25,50,4,420,Patates gnocchi 600 gr | Domates püresi 2 su bardağı | Mozzarella 200 gr | Parmesan peyniri 50 gr | Fesleğen 8 yaprak,5,"1. Domates püresini 12 dakika kaynatın. || 2. Gnocchiyi kaynar suda 3 dakika haşlayın. || 3. Gnocchi, sos ve peynirleri fırın kabında karıştırın. || 4. 200°C fırında 15 dakika pişirin.",4,"GLUTEN,SUT","vejetaryen,firinda",Gnocchi su yüzeyine çıktığında süzün; fazla haşlama hamuru dağıtır.,Fırından çıktıktan sonra 5 dakika dinlendirip servis edin.
gobete-sinop-usulu,Göbete,"Sinop göbetesi, kat kat hamur arasına tavuklu iç yerleştirilerek pişirilen gösterişli bir Karadeniz böreğidir.",YEMEK,tr,HARD,50,35,85,8,336,Un 600 gr — Hamur için | Yumurta 1 adet — Hamur için | Su 260 ml — Hamur için | Haşlanmış tavuk eti 400 gr — İç için | Soğan 1 adet — İç için | Tereyağı 100 gr — Katlar için | Maydanoz 0.25 demet — Servis için,7,1. Hamuru yoğurup 20 dakika dinlendirin. || 2. Tavuk ve soğanla iç harcı hazırlayın. || 3. Hamuru kat kat açıp içi yerleştirin ve böreği 190°C fırında 30 dakika pişirin.,3,"GLUTEN,SUT,YUMURTA",misafir-sofrasi,"İçi soğutup yerleştirmek, alt katın hamur kalmasını engeller.",Yanına maydanoz yaprakları koyarak sıcak servis edin.
gochujang-dip,Gochujang Dip,"Gochujang dip, Kore biber ezmesini pirinç sirkesi ve susamla keskin bir sosa çevirir.",SOS,kr,EASY,7,0,7,6,55,Gochujang 4 yemek kaşığı | Pirinç sirkesi 2 yemek kaşığı | Susam yağı 1 yemek kaşığı | Bal 1 yemek kaşığı,4,"1. Gochujang, sirke ve balı çırpın. || 2. Susam yağını azar azar ekleyin. || 3. Sosu 10 dakika dinlendirip servis edin.",3,"SOYA,SUSAM","30-dakika-alti,vejetaryen",Susam yağını azar azar ekleyin; fazla yağ fermente tadı örter.,"Salatalık, marul sarma veya ızgara et yanında servis edin."
goi-cuon,Goi Cuon,"Vietnam taze sarmaları pirinç kağıdında karides, otlar ve erişteyi hafif bir lokmada toplar.",SALATA,vn,MEDIUM,35,5,40,4,190,Pirinç kağıdı 12 adet | Karides 300 gr | Pirinç eriştesi 120 gr | Marul 8 yaprak | Yer fıstığı ezmesi 3 yemek kaşığı | Soya sosu 1 yemek kaşığı,6,"1. Karidesleri 5 dakika haşlayıp ikiye kesin. || 2. Pirinç kağıdını ıslatın, marul, erişte, ot ve karidesi yerleştirin. || 3. Kenarları kapatıp sıkı rulo sarın ve sosla servis edin.",3,"DENIZ_URUNLERI,YER_FISTIGI,SOYA",yaz-tarifi,Pirinç kağıdını tek tek ıslatın; fazla beklerse yırtılgan hale gelir.,Yer fıstıklı sosla soğuk servis edin.
goi-ga,Goi Ga,"Goi ga, didiklenmiş tavuk, lahana ve lime sosuyla gevrek, ferah bir Vietnam salatasıdır.",SALATA,vn,EASY,25,20,45,4,260,Tavuk göğsü 500 gr | Beyaz lahana 300 gr | Lime suyu 4 yemek kaşığı | Yer fıstığı 60 gr,4,"1. Tavuğu 20 dakika haşlayıp didikleyin. || 2. Lahanayı ince kıyın. || 3. Tavuk, lahana ve lime sosunu karıştırın.",3,YER_FISTIGI,yuksek-protein,Tavuğu lif yönünde didikleyin; salata sosu eti daha iyi kaplar.,Kavrulmuş yer fıstığı ve taze nane ile servis edin.
goi-ga-bap-cai,Goi Ga Bap Cai,"Tavuklu Vietnam lahana salatası, limonlu balıklı ya da soyalı sosla hafif ama canlı bir öğün olur.",SALATA,vn,EASY,20,15,35,4,228,Haşlanmış tavuk göğsü 300 gr | Beyaz lahana 300 gr | Havuç 1 adet | Soya sosu 2 yemek kaşığı | Yer fıstığı 0.25 su bardağı,5,"1. Lahana ve havucu ince doğrayın. || 2. Tavuk, soya sosu ve limon suyuyla birlikte salatayı harmanlayın. || 3. Yer fıstığı serpip servis edin.",3,"YER_FISTIGI,SOYA","yuksek-protein,yaz-tarifi",Lahanayı sosla karıştırmadan önce hafifçe tuzlayıp 5 dakika bekletmek çıtırlığını korur.,Üzerine kavrulmuş yer fıstığı serperek servis edin.
golubtsy,Golubtsy,"Rus lahana dolması golubtsy, kıymalı pirinç içiyle domatesli sosta ağır ağır pişer.",YEMEK,tr,HARD,50,60,110,6,300,Lahana 1 adet | Dana kıyma 500 gr | Pirinç 1 su bardağı | Domates püresi 400 ml,4,1. Lahana yapraklarını 5 dakika haşlayın. || 2. Kıyma ve pirinçle iç hazırlayıp yapraklara sarın. || 3. Domatesli sosta 60 dakika pişirin.,3,,misafir-sofrasi,,
granola-kasesi,Granola Kasesi,"Yoğurt, granola ve meyveyle hazırlanan hızlı ve dengeli kahvaltı kasesi.",KAHVALTI,tr,EASY,8,0,8,2,430,Süzme yoğurt 2 su bardağı | Granola 1 su bardağı | Çilek 10 adet | Muz 1 adet | Bal 2 tatlı kaşığı,5,1. Yoğurdu iki kaseye paylaştırın. || 2. Meyveleri dilimleyip yoğurdun üzerine yerleştirin. || 3. Granola ve bal ekleyip hemen servis edin.,3,"GLUTEN,SUT","vejetaryen,30-dakika-alti,pratik",Granolayı servis anında ekleyin; yoğurdun içinde beklerse çıtırlığını kaybeder.,Taze meyve ve bal ile servis edin.
gratin-dauphinois,Gratin Dauphinois,"Dauphine bölgesinden ince patates dilimleri, krema ve sarımsakla fırında kadifemsi pişer.",YEMEK,fr,MEDIUM,20,60,80,6,340,Patates 1 kg | Krema 2 su bardağı | Süt 1 su bardağı | Sarımsak 2 diş | Muskat 0.25 çay kaşığı,5,"1. Patatesleri ince dilimleyin. || 2. Krema, süt, sarımsak ve muskatı karıştırın. || 3. Patatesleri tepsiye dizip kremalı karışımı dökün. || 4. 170°C fırında 60 dakika pişirin.",4,SUT,"firinda,vejetaryen",Patatesleri ince ve eşit dilimleyin; tepside aynı anda yumuşar.,Izgara et yanında garnitür olarak servis edin.
greek-coffee,Greek Coffee,"Cezvede ağır ağır pişirilen Yunan kahvesi, fincan dibindeki telvesi ve kalın köpüğüyle servis edilir.",ICECEK,gr,EASY,3,4,7,1,35,Türk kahvesi 1 tatlı kaşığı | Su 1 fincan | Şeker 1 çay kaşığı (opsiyonel),3,"1. Kahveyi, suyu ve isteğe göre şekeri cezveye alın. || 2. Kısık ateşte köpük yükselene kadar 3-4 dakika pişirin. || 3. Köpüğü fincana paylaştırıp kalan kahveyi üstüne dökün.",3,,"pratik,30-dakika-alti,vejetaryen,vegan",Köpük yükselmeye başladığında taşırmadan hemen fincana alın; ikinci kez kaynatmak aromayı sertleştirir.,Yanında küçük bir lokumla servis edin.
grissini,Grissini,"İnce çubuk şeklinde pişen, zeytinyağlı çıtır İtalyan ekmeği.",ATISTIRMALIK,it,MEDIUM,35,18,53,8,200,Un 3 su bardağı | Ilık su 1 su bardağı | Kuru maya 1 tatlı kaşığı | Zeytinyağı 3 yemek kaşığı | Tuz 1 çay kaşığı | Biberiye 1 tatlı kaşığı,6,1. Hamur malzemelerini yoğurup 30 dakika mayalandırın. || 2. Hamuru ince çubuklar halinde yuvarlayın. || 3. Grissinileri 190°C fırında 15-18 dakika pişirin.,3,GLUTEN,"vegan,firinda,vejetaryen",Çubukları eş kalınlıkta yuvarlayın; fırında aynı anda çıtırlaşır.,Peynir tabağı yanında servis edin.
guacamole,Guacamole,"Avokado, lime, domates ve kişnişle hazırlanan Meksika usulü dip sos.",SOS,mx,EASY,10,0,10,4,190,Avokado 2 adet | Lime suyu 2 yemek kaşığı | Domates 1 adet | Kırmızı soğan 0.5 adet | Taze kişniş 0.25 demet | Tuz 0.5 çay kaşığı | Jalapeno biber 1 adet (opsiyonel),7,"1. Avokadoları soyup çekirdeklerini çıkarın. || 2. Avokadoyu lime suyu ve tuzla çatalla ezin. || 3. Domates, kırmızı soğan, kişniş ve jalapeno biberi küçük doğrayın. || 4. Doğranmış malzemeleri avokadoyla karıştırıp hemen servis edin.",4,,"vegan,30-dakika-alti,yaz-tarifi,vejetaryen",Avokadoyu çatalla ezin; tamamen püre yapmak yerine hafif taneli bırakmak daha iyi doku verir.,Tortilla cipsi veya taco yanında servis edin.
gul-serbeti,Gül Şerbeti,"Osmanlı mutfak defterlerinden bugüne gelen gül şerbeti, hafif çiçek aroması ve serinletici yapısıyla yaz sofralarına yakışır.",ICECEK,tr,EASY,10,10,20,6,95,Su 1.5 litre | Şeker 1.5 su bardağı | Gül suyu 4 yemek kaşığı | Limon suyu 2 yemek kaşığı,4,1. Su ve şekeri tencerede 8 dakika kaynatın. || 2. Tencereyi ocaktan alıp gül suyu ve limon suyunu ekleyin. || 3. Şerbeti tamamen soğutup buzla servis edin.,3,,"vegan,yaz-tarifi,alkolsuz,vejetaryen","Gül suyunu kaynayan şerbete değil, ocaktan alınmış karışıma eklerseniz aroması daha temiz kalır.",Bol buz ve birkaç gül yaprağıyla sürahide servis edin.
gulab-jamun,Gulab Jamun,"Hint tatlı tezgahlarının süt tozlu kızarmış topları, gül kokulu şerbeti içine çeker.",TATLI,in,MEDIUM,35,25,60,8,280,Süt tozu 1.5 su bardağı — Hamur için | Un 3 yemek kaşığı — Hamur için | Yoğurt 3 yemek kaşığı — Hamur için | Şeker 2 su bardağı — Şerbet için | Su 2 su bardağı — Şerbet için | Gül suyu 1 yemek kaşığı — Şerbet için,6,"1. Şeker ve suyu 10 dakika kaynatıp gül suyunu ekleyin. || 2. Süt tozu, un ve yoğurtla yumuşak hamur hazırlayın. || 3. Hamurdan toplar yapıp 8-10 dakika kızartın. || 4. Topları ılık şerbete alın ve 20 dakika bekletin.",4,"GLUTEN,SUT","misafir-sofrasi,vejetaryen",Topları orta ateşte kızartın; dışı hızlı kararırsa içi hamur kalır.,Ilık şerbet içinde servis edin.
gullac,Güllaç,Güllaç yapraklarının sütlü şerbetle ıslatıldığı hafif Ramazan tatlısı.,TATLI,tr,EASY,20,8,28,8,300,Güllaç yaprağı 10 adet | Süt 1.5 litre | Şeker 1.5 su bardağı | Ceviz 1 su bardağı | Gül suyu 1 yemek kaşığı | Nar 0.5 su bardağı,6,1. Süt ve şekeri ısıtıp şeker eriyince gül suyunu ekleyin. || 2. Güllaç yapraklarını sütle ıslatıp cevizle kat kat dizin. || 3. Tatlıyı buzdolabında 2 saat dinlendirip narla servis edin.,3,"SUT,KUSUYEMIS,GLUTEN","vejetaryen,misafir-sofrasi",Süt el yakmayacak sıcaklıkta olmalı; çok sıcak süt yaprakları hamurlaştırır.,Nar ve cevizle soğuk servis edin.
gumbo,Gumbo,"Louisiana gumbo koyu roux, bamya, tavuk ve deniz ürünüyle derin aromalı bir tencere yemeğidir.",YEMEK,tr,HARD,30,90,120,6,340,Tavuk but 600 gr | Karides 300 gr | Bamya 250 gr | Un 60 gr | Kereviz sapı 2 dal,5,"1. Un ve yağla koyu renkli roux hazırlayın. || 2. Tavuk, sebze ve suyu ekleyip 75 dakika pişirin. || 3. Karidesi ekleyip 8 dakika daha pişirin.",3,"GLUTEN,DENIZ_URUNLERI,KEREVIZ",tek-tencere,,
gyeran-mari,Gyeran Mari,"Kore usulü yumurta rulosu, kahvaltı kutularında ince dilimler halinde yer alan sade ama düzenli bir klasikdir.",KAHVALTI,kr,EASY,8,7,15,2,170,Yumurta 4 adet | Havuç 0.5 adet | Taze soğan 1 dal | Ayçiçek yağı 1 tatlı kaşığı,4,1. Yumurtaları ince doğranmış havuç ve taze soğanla çırpın. || 2. Karışımın ince bir katını tavaya döküp yarı pişmişken rulo yapın. || 3. Kalan karışımı da ekleyerek ruloyu tamamlayıp dilimleyin.,3,YUMURTA,"30-dakika-alti,cocuk-dostu,vejetaryen",Her katı ince dökün; kalın katmanlar ruloyu katlarken kırılır.,Yanına pirinç ve kimchi koyarak servis edin.
gyros,Gyros,"Yunan sokaklarında pita, baharatlı et ve yoğurtlu sosla elde yenilen doyurucu dürüm.",YEMEK,gr,MEDIUM,25,20,45,4,540,Dana antrikot 600 gr | Pita ekmeği 4 adet | Yoğurt 0.5 su bardağı | Soğan 1 adet | Kekik 1 tatlı kaşığı | Tuz 1 çay kaşığı,6,"1. Eti yoğurt, kekik ve tuzla 20 dakika marine edin. || 2. Eti tavada 8-10 dakika pişirin. || 3. Pitaları ısıtıp et ve soğanla doldurun.",3,"GLUTEN,SUT",yuksek-protein,Eti ince şerit kesin; yüksek ateşte kısa sürede kızarır.,"Pita içinde domates, soğan ve tzatzikiyle servis edin."
haemul-pajeon,Haemul Pajeon,"Kore deniz mahsullü taze soğan pankeki, tavada kenarı çıtır içi yumuşak pişer.",APERATIF,kr,MEDIUM,20,15,35,4,290,Un 180 gr | Yumurta 1 adet | Karides 200 gr | Taze soğan 8 dal | Soya sosu 2 yemek kaşığı,5,"1. Un, yumurta ve suyla hamur hazırlayın. || 2. Taze soğan ve karidesi tavaya yerleştirip hamuru dökün. || 3. İki yüzünü 15 dakika pişirin.",3,"GLUTEN,YUMURTA,DENIZ_URUNLERI,SOYA",misafir-sofrasi,,
halloumi-izgara,Halloumi Izgara,Kıbrıs ve Levant tabaklarında tuzlu peynirin ızgarada çizgi çizgi kızaran sade hali.,APERATIF,tr,EASY,5,6,11,4,260,Halloumi peyniri 300 gr | Zeytinyağı 1 yemek kaşığı | Limon 1 adet | Nane 8 yaprak,4,"1. Halloumi peynirini 1 cm dilimleyin. || 2. Izgara tavada her yüzünü 3 dakika pişirin. || 3. Zeytinyağı, limon ve nane ile servis edin.",3,SUT,"vejetaryen,30-dakika-alti",Peyniri 1 cm kalınlığında kesin; daha ince dilimler tavada kurur.,"Limon, nane ve domatesle servis edin."
hamsi-kusu,Hamsi Kuşu,"Hamsi kuşu, ayıklanmış hamsilerin yeşillikli içle kapatılıp tavada kızartıldığı Karadeniz işi bir lokmalıktır.",APERATIF,tr,MEDIUM,25,12,37,4,228,Hamsi 500 gr | Maydanoz 0.5 demet | Yumurta 1 adet | Un 2 yemek kaşığı | Limon 1 adet,5,1. Hamsileri temizleyip açın. || 2. Maydanozlu içi hazırlayıp hamsilerin arasına yerleştirin. || 3. Parçaları yumurta ve una bulayıp 8 dakika kızartın ve limonla servis edin.,3,"DENIZ_URUNLERI,YUMURTA,GLUTEN","misafir-sofrasi,yuksek-protein",Hamsileri bastırmadan kapatmak tavada iç kısmın açılmasını önler.,Yanına limon dilimleri koyarak sıcak servis edin.
hamsi-tava,Hamsi Tava,"Karadeniz tavalarında hamsi mısır ununa bulanır, tek parça çevrilerek altın renkli pişer.",YEMEK,tr,MEDIUM,20,12,32,4,310,Hamsi 800 gr | Mısır unu 120 gr | Tuz 1 tatlı kaşığı | Sıvı yağ 4 yemek kaşığı,4,1. Hamsileri ayıklayıp yıkayın ve kurulayın. || 2. Mısır unu ve tuza bulayıp tavaya dizin. || 3. İki yüzünü toplam 12 dakika pişirin.,3,DENIZ_URUNLERI,yuksek-protein,,
hamsikoy-sutlaci,Hamsiköy Sütlacı,"Hamsiköy sütlacı, bol süt ve az pirinçle ağır kıvam alıp üzeri fırında kızartılan Trabzon işi bir tatlıdır.",TATLI,tr,EASY,10,55,65,6,256,Süt 1.5 lt | Pirinç 0.5 su bardağı | Şeker 180 gr | Tarçın 1 çay kaşığı,4,1. Pirinci 10 dakika suda haşlayın. || 2. Süt ve şekeri ekleyip karışımı 35 dakika koyulaşana kadar pişirin. || 3. Kaselere paylaştırıp 220°C fırında üstünü kızartın ve tarçınla servis edin.,3,SUT,"vejetaryen,misafir-sofrasi",Pirinci çok diri bırakmayın; sütlaç fırın gördükten sonra toparlanırken tane tane kalmalıdır.,Üzerine tarçın serperek ılık servis edin.
hamsili-ekmek-rize-usulu,Hamsili Ekmek,"Hamsili ekmek, mısır unlu tabanın üzerine dizilen hamsilerle pişen ve Karadeniz kıyısında sıcak yenilen yerel bir tepsi yemeğidir.",YEMEK,tr,MEDIUM,25,30,55,6,288,Hamsi 700 gr | Mısır unu 2 su bardağı | Soğan 1 adet | Maydanoz 0.5 demet | Tuz 1 çay kaşığı | Limon 1 adet,6,"1. Hamsileri temizleyip kılçıklarını çıkarın. || 2. Mısır unu, soğan, maydanoz ve tuzla taban harcını hazırlayın. || 3. Tepsiye harcı yayıp hamsileri dizin ve 200°C fırında 25 dakika pişirin.",3,"DENIZ_URUNLERI,GLUTEN",misafir-sofrasi,Tabanı kalın yaymayın; mısır unu fazla yükselirse hamsinin tadı geri düşer.,Yanına maydanoz ve limon dilimleri koyarak servis edin.
hamsili-pilav,Hamsili Pilav,"Karadeniz'in fırın pilavı, hamsi dizili kabuğu ve baharatlı iç pilavıyla kalıp gibi çıkar.",YEMEK,tr,HARD,45,45,90,6,410,Hamsi 1 kg | Pirinç 2 su bardağı | Soğan 2 adet | Kuş üzümü 2 yemek kaşığı | Dolmalık fıstık 2 yemek kaşığı,5,"1. Pirinci 20 dakika sıcak suda bekletin. || 2. Soğan, pirinç, üzüm ve fıstıkla iç pilavı 15 dakika pişirin. || 3. Hamsileri tepsiye dizip pilavı içine yayın. || 4. 180°C fırında 30 dakika pişirin.",4,"DENIZ_URUNLERI,KUSUYEMIS",misafir-sofrasi,Hamsileri tepsiye sık dizin; pilav fırında dışarı taşmaz.,Limon ve roka ile servis edin.
