slug,title,description,type,cuisine,ingredients_summary,allergens,tags,tipNote,servingSuggestion
cafezinho-brasileiro,Cafezinho Brasileiro,"Brezilya'nın küçük ama kuvvetli kahve fincanı cafezinho, yoğun dem ve hafif şekerle günün her saatine eşlik eder.",ICECEK,br,Öğütülmüş kahve; Su; Şeker,,"pratik,30-dakika-alti,vejetaryen,vegan","Şekeri suyla birlikte ısıtmak, cafezinho'nun klasik yuvarlak tadını verir.",Küçük fincanda tek yudumluk servis edin.
caffe-latte,Caffe Latte,Espresso ve buharla ısıtılmış sütle hazırlanan yumuşak içimli kahve.,ICECEK,tr,Espresso; Süt,SUT,"vejetaryen,30-dakika-alti,pratik",Sütü kaynatmayın; 60-65°C aralığı tatlı ve kadifemsi köpük verir.,Tarçın serpmek isterseniz servis anında ekleyin.
caffe-shakerato,Caffè Shakerato,"İtalya'da bar tezgâhında buzla çalkalanan espresso, köpüklü ve serin bir kahveye dönüşür.",ICECEK,it,Espresso; Şeker şurubu; Buz,,"pratik,30-dakika-alti,yaz-tarifi,vejetaryen,vegan",Espressoyu buz erimeden hızlıca çalkalarsanız üstte belirgin bir köpük tabakası oluşur.,Soğutulmuş küçük bardakta limon kabuğu eşliğinde sunun.
caipirinha,Caipirinha,"Cachaça rom, misket limonu ve şekerle hazırlanan Brezilya kokteyli.",KOKTEYL,br,Cachaça rom; Misket limonu; Şeker; Kırık buz,,"alkollu,pratik,vejetaryen,vegan",Misket limonunu fazla ezmeyin; kabuk acılığı içeceğe geçmez.,Kısa bardakta bol kırık buzla servis edin.
cajun-misir-cerezi,Cajun Mısır Çerezi,Kavrulmuş mısır taneleri Cajun baharatıyla çıtır ve acımsı bir kase atıştırmalık olur.,ATISTIRMALIK,us,Haşlanmış mısır; Zeytinyağı; Louisiana baharatı; Lime,,"vegan,30-dakika-alti,vejetaryen",Mısırı tavaya yayarak kavurun; buhar yerine çıtır yüzey oluşur.,Soğuk içecek yanında servis edin.
cajun-tavuk,Cajun Tavuk,Cajun baharatıyla kaplanan tavuk parçalarının tavada hızlı pişen hali.,YEMEK,us,Tavuk göğsü; Zeytinyağı; Toz kırmızı biber; Sarımsak tozu; Kimyon; Karabiber,,"30-dakika-alti,pratik",Tavukları eş kalınlıkta kesin; parçalar aynı sürede pişer.,"Mısır, salata ve yoğurtlu dip sosla servis edin."
caldo-de-feijao,Caldo de Feijao,"Brezilya fasulye çorbası caldo de feijao, koyu yapısı ve tütsülü dokunuşuyla küçük kâsede bile doyurucu gelir.",CORBA,br,Haşlanmış siyah fasulye; Soğan; Sarımsak; Zeytinyağı,,"tek-tencere,butce-dostu,vejetaryen,vegan",Fasulyenin bir kısmını blenderdan geçirip bir kısmını bütün bırakırsanız doku daha iyi olur.,Üstüne ince kıyılmış yeşil soğan serperek servis edin.
caldo-verde-brasil,Caldo Verde Brasil,"Brezilya usulü caldo verde, patates, lahana ve dana sucukla koyu, sıcak bir kase olur.",CORBA,tr,Patates; Kara lahana; Dana sucuk; Soğan,,kis-tarifi,,
camarao-na-moranga,Camarão na Moranga,"Camarão na moranga, kremalı karides yahnisinin fırınlanmış balkabağı içinde servis edilen Brezilya klasiğidir.",YEMEK,br,Balkabağı; Karides; Krema peyniri; Domates,"DENIZ_URUNLERI,SUT",misafir-sofrasi,Balkabağını fazla pişirmeyin; kabuk çökerse karidesli dolgu taşar.,Beyaz pirinç ve lime dilimleriyle servis edin.
canjica,Canjica,"Brezilya canjica tatlısı beyaz mısırı süt, tarçın ve Hindistan ceviziyle yumuşak pişirir.",TATLI,tr,Beyaz mısır; Süt; Şeker; Hindistan cevizi rendesi,SUT,misafir-sofrasi,,
cannoli,Cannoli,"Sicilya pastanelerinin gevrek hamur tüpü, ricotta dolgusu ve Antep fıstığıyla hazırlanan tatlısı.",TATLI,it,Un; Yumurta; Tereyağı; Ricotta peyniri; Pudra şekeri; Antep fıstığı,"GLUTEN,SUT,YUMURTA,KUSUYEMIS","misafir-sofrasi,vejetaryen",Dolguyu servis öncesi sıkın; erken doldurulan kabuk kısa sürede yumuşar.,Uçlarını Antep fıstığına batırarak servis edin.
cao-lau,Cao Lau,"Hoi An'ın cao lau kasesi kalın pirinç eriştesi, aromalı et ve taze otlarla dengeli bir tabak sunar.",YEMEK,tr,Kalın pirinç eriştesi; Dana eti; Soya sosu; Taze ot karışımı,SOYA,misafir-sofrasi,,
cappuccino,Cappuccino,"Espresso, sıcak süt ve yoğun süt köpüğüyle hazırlanan klasik kahve.",ICECEK,tr,Espresso; Süt; Kakao,SUT,"alkolsuz,pratik,vejetaryen",Sütü 60-65°C aralığında köpürtün; yanık süt tadı oluşmaz.,Üzerine kakao serperek servis edin.
caprese-salatasi,Caprese Salatası,"Domates, mozzarella ve fesleğenle hazırlanan sade İtalyan salatası.",SALATA,it,Domates; Mozzarella; Fesleğen; Zeytinyağı; Balzamik sirke,SUT,"vejetaryen,pratik",Domatesleri oda sıcaklığında kullanın; aroması daha belirgin olur.,Balzamik sirke ve zeytinyağıyla servis edin.
carne-asada,Carne Asada,"Meksika carne asada, lime ve baharatla marine edilen dana etinin yüksek ateşte ızgara edilmesidir.",YEMEK,mx,Dana antrikot; Lime suyu; Sarımsak; Kimyon,,yuksek-protein,Eti ızgaradan aldıktan sonra 5 dakika dinlendirin; lifler gevşer ve suyunu kaybetmez.,"Tortilla, guacamole ve lime ile servis edin."
carne-de-panela,Carne de Panela,"Carne de panela, dana etini domates ve patatesle tencerede yumuşatan Brezilya ev yemeğidir.",YEMEK,br,Dana kuşbaşı; Patates; Domates; Soğan,,tek-tencere,Eti salçalı su eklemeden önce mühürleyin; sos daha koyu olur.,Pirinç ve siyah fasulyeyle servis edin.
cassoulet,Cassoulet,"Güney Fransa cassoulet, kuru fasulye, ördek ve sosisin uzun pişen doyurucu güvecidir.",YEMEK,fr,Kuru fasulye; Ördek budu; Dana sosis; Domates püresi,,misafir-sofrasi,,"Fırından çıkar çıkmaz, sıcak servis edin."
cerkez-tavugu,Çerkez Tavuğu,"Haşlanmış tavuk, ceviz ve sarımsaklı ekmek içiyle hazırlanan geleneksel soğuk meze.",APERATIF,tr,Tavuk göğsü; Ceviz içi; Bayat ekmek içi; Sarımsak; Tavuk suyu; Zeytinyağı; Pul biber; Tuz,"GLUTEN,KUSUYEMIS","misafir-sofrasi,yuksek-protein",Cevizi fazla ısıtmadan çekin; yağı ayrılırsa mezenin rengi kararır.,Üzerine pul biberli yağ gezdirip kızarmış ekmekle servis edin.
ceviche,Ceviche,"Peru ceviche taze balığı lime suyu, soğan ve acı biberle pişirmeden marine eden ferah bir tabaktır.",SALATA,tr,Levrek fileto; Lime suyu; Kırmızı soğan; Kişniş,DENIZ_URUNLERI,yaz-tarifi,,
cevizli-kabak-ezmesi,Cevizli Kabak Ezmesi,"Fırınlanmış kabak ve ceviz bir araya gelince ekmeğe sürülen, tatlıya kaçmadan yumuşak bir meze oluşur.",APERATIF,tr,Balkabağı; Ceviz; Labne; Zeytinyağı,"KUSUYEMIS,SUT","vejetaryen,misafir-sofrasi",Kabağı fazla püre yapmadan ezin; hafif lifli doku mezeye daha iyi yakışır.,Üzerine ceviz kırığı ve zeytinyağı gezdirerek servis edin.
cevizli-medovik,Cevizli Medovik,"İnce katmanlı ballı Medovik, bekledikçe yumuşayan yapısıyla sabırlı tatlıların en ödüllendiricilerinden biridir.",TATLI,ru,Un; Bal; Yumurta; Ekşi krema,"GLUTEN,SUT,YUMURTA","misafir-sofrasi,vejetaryen",Katları çok kalın açmayın; Medovik bekledikçe incelikle yumuşamalı.,Bir gece dinlendirip ertesi gün dilimleyerek servis edin.
cevizli-sucuk,Cevizli Sucuk,"Anadolu kış hazırlıklarında ceviz dizileri üzüm pekmezli köftüre bulanır, kurudukça keskinleşir.",TATLI,tr,Ceviz; Üzüm pekmezi; Un; Su,"GLUTEN,KUSUYEMIS","vegan,kis-tarifi,vejetaryen",Köftür kaşıktan kalın şerit halinde akınca cevizleri kaplayacak kıvama gelmiştir.,İnce dilimleyip kahve yanında servis edin.
cha-gio,Cha Gio,"Vietnam kızarmış sarmaları pirinç kağıdında kıyma, sebze ve cam erişteyle çıtır bir atıştırmalık olur.",APERATIF,vn,Pirinç kağıdı; Dana kıyma; Cam erişte; Havuç; Yumurta; Soya sosu,"YUMURTA,SOYA",misafir-sofrasi,Sarmaları yağda küçük partiler halinde pişirin; pirinç kağıdı birbirine yapışmaz.,Marul ve naneli sosla servis edin.
chai-latte,Chai Latte,"Siyah çay, süt ve sıcak baharatlarla hazırlanan kremamsı içecek.",ICECEK,in,Siyah çay; Su; Süt; Tarçın çubuğu; Kakule; Karanfil; Bal,SUT,"vejetaryen,alkolsuz,kis-tarifi",Baharatları süt eklemeden demleyin; aromasını suya daha net bırakır.,Üzerine tarçın serperek servis edin.
champurrado,Champurrado,"Meksika'nın çikolatalı sıcak mısır içeceği champurrado, tarçınla birlikte yoğun ve tok bir bardak verir.",ICECEK,mx,Süt; Masa harina; Bitter çikolata; Tarçın,SUT,"kis-tarifi,vejetaryen",Masa harinayı önce az suyla açın; doğrudan tencereye eklenirse topaklanır.,Tarçın çubuğuyla kalın bardakta sıcak servis edin.
chana-masala,Chana Masala,"Pencap chana masala, nohudu domates, zencefil ve garam masalayla yoğun bir tencereye çeker.",YEMEK,in,Haşlanmış nohut; Domates püresi; Soğan; Garam masala,,"vegan,tek-tencere,vejetaryen",,Basmati pirinç ve raita ile servis edin.
chao-ga,Chao Ga,"Vietnam tavuklu pirinç lapası zencefil kokusuyla sade, yumuşak ve doyurucu bir kase olur.",KAHVALTI,tr,Pirinç; Tavuk but; Zencefil; Taze soğan,,butce-dostu,,
char-siu,Char Siu,"Kanton mutfağının parlak fırın domuz eti, soya, bal ve beş baharatla tatlı-tuzlu kızarır.",YEMEK,cn,Domuz bonfile; Soya sosu; Bal; Susam yağı; Beş baharat,"SOYA,SUSAM",misafir-sofrasi,Eti pişerken iki kez soslayın; yüzeyi parlak ve yapışkan olur.,Pirinç ve buharda sebzeyle servis edin.
char-siu-bao,Char Siu Bao,Kanton dim sum arabalarının buharlı çöreği; tatlı soya soslu dana içi yumuşak hamurda saklanır.,APERATIF,cn,Un; Maya; Dana eti; Soya sosu; Bal,"GLUTEN,SOYA",misafir-sofrasi,Buhar sepetinin kapağını pişirme bitene kadar açmayın; hamur sönmez.,Sıcak dim sum tabağı olarak servis edin.
chawanmushi,Chawanmushi,"Japon buharda yumurta kreması chawanmushi, dashi ve mantarla ipeksi bir kase olur.",APERATIF,jp,Yumurta; Dashi suyu; Mantar; Soya sosu,"YUMURTA,SOYA","misafir-sofrasi,vejetaryen",,
che-ba-mau,Che Ba Mau,"Che ba mau, fasulye, jöle ve hindistan cevizi sütüyle kat kat hazırlanan renkli Vietnam tatlısıdır.",TATLI,vn,Maş fasulyesi; Kırmızı fasulye; Agar jöle; Hindistan cevizi sütü,,yaz-tarifi,Katları bardağa eklemeden önce tamamen soğutun; renkler karışmaz.,Kırık buz ve hindistan cevizi sütüyle uzun bardakta servis edin.
chermoula-sos,Chermoula Sos,"Fas ve Cezayir balık tezgahlarının kişnişli, limonlu ve baharatlı marinadı.",SOS,ma,Kişniş; Maydanoz; Limon suyu; Zeytinyağı; Kimyon,,"vegan,30-dakika-alti,vejetaryen",Kişniş ve maydanozu bıçakla doğrayın; sos püre yerine taneli kalır.,"Balık, tavuk veya fırın sebzeyi marine etmek için kullanın."
chermoula-tavuk,Chermoula Tavuk,"Chermoula tavuk, kişniş ve limonlu marinadın fırında tavuk etine işlemesiyle kurulan Fas usulü bir tabaktır.",YEMEK,ma,Tavuk kalça; Kişniş; Sarımsak; Limon; Zeytinyağı,,"firinda,yuksek-protein","Marinadı deriye değil ete sürmek, aromayı daha derine taşır.",Yanına limon dilimleri koyarak sıcak servis edin.
chex-mix,Chex Mix,"Amerikan parti kaselerinin gevrek karışımı; tahıl, kraker ve baharatlı tereyağı fırında birleşir.",ATISTIRMALIK,us,Tahıl gevreği; Kraker; Pretzel; Tereyağı; Sarımsak tozu,"GLUTEN,SUT","cocuk-dostu,vejetaryen",Karışımı 10 dakikada bir çevirin; tereyağı her parçaya eşit dağılır.,Büyük kasede paylaşmalık servis edin.
chicken-and-waffles,Chicken and Waffles,"Amerikan chicken and waffles, çıtır tavuk ve yumuşak waffleı aynı tabakta tatlı tuzlu dengede sunar.",YEMEK,us,Tavuk but; Un; Yumurta; Süt,"GLUTEN,SUT,YUMURTA",misafir-sofrasi,Tavuğu kızarttıktan sonra ızgarada 2 dakika tutun; fazla yağ akar ve çıtırlık korunur.,Akçaağaç şurubu ve tereyağı ile sıcak servis edin.
chicken-paprikash,Chicken Paprikash,"Macar paprikalı tavuğu soğan, tatlı biber ve ekşi kremayla kırmızı renkli bir tencere yemeğidir.",YEMEK,hu,Tavuk but; Soğan; Tatlı paprika; Ekşi krema,SUT,tek-tencere,,
chicken-tikka-masala,Chicken Tikka Masala,"Britanya-Hint lokantalarının dumanlı tavuk parçaları, domatesli baharat sosunda buluşur.",YEMEK,in,Tavuk göğsü; Yoğurt; Domates püresi; Krema; Tikka baharatı,SUT,yuksek-protein,Tavuk parçalarını sos öncesi yüksek ısıda kızartın; marine aroması belirginleşir.,Basmati pirinç ve kişnişle servis edin.
chilaquiles,Chilaquiles,"Meksika kahvaltısı chilaquiles, tortilla cipslerini salsa ve yumurtayla canlı bir tabakta buluşturur.",KAHVALTI,th,Tortilla cipsi; Salsa verde; Yumurta; Beyaz peynir,"YUMURTA,SUT","30-dakika-alti,vejetaryen",,
chilaquiles-verdes,Chilaquiles Verdes,"Meksika kahvaltısının tortilla cipsli klasiği, salsa verde ile hafif yumuşayıp üstüne yumurta ya da peynir alır.",KAHVALTI,mx,Mısır tortilla cipsi; Tomatillo salsa; Beyaz peynir; Avokado; Yumurta,"SUT,YUMURTA","misafir-sofrasi,vejetaryen",Cipsleri sosa çok erken eklemeyin; kenarlarda hafif çıtırlık kalması chilaquiles için önemli.,"Üzerine beyaz peynir, avokado ve sahanda yumurta ekleyin."
chiles-rellenos,Chiles Rellenos,"Meksika chiles rellenos, közlenmiş biberlerin peynirle dolup yumurtalı kaplamayla kızarmasıdır.",YEMEK,mx,Büyük yeşil biber; Kaşar peyniri; Yumurta; Domates sosu,"SUT,YUMURTA",vejetaryen,Közlenmiş biberlerin kabuğunu temizlerken yırtmayın; peynir dışarı akarsa kaplama tutmaz.,Domates sosu ve ekşi krema ile servis edin.
chimichurri,Chimichurri,"Maydanoz, sirke, sarımsak ve zeytinyağıyla hazırlanan Arjantin sosu.",SOS,tr,Maydanoz; Sarımsak; Zeytinyağı; Üzüm sirkesi; Mercanköşk; Pul biber,,"vegan,pratik,vejetaryen",Sosu servis öncesi 20 dakika dinlendirin; sarımsak ve ot aroması yağa geçer.,"Izgara et, tavuk veya sebze üzerinde kullanın."
chokladbollar,Chokladbollar,"İsveç'in pişmeyen çikolatalı yulaf topları, kahve aralarında küçük ve yoğun bir tatlı atıştırmalık olarak yenir.",ATISTIRMALIK,se,Yulaf; Tereyağı; Kakao; Şeker; Hindistan cevizi,"GLUTEN,SUT","pratik,misafir-sofrasi",Karışımı buzdolabında 10 dakika dinlendirmek topları daha rahat yuvarlamanızı sağlar.,Hindistan cevizine bulayıp kahvenin yanında servis edin.
churros,Churros,Kızarmış hamur çubuklarının tarçınlı şekerle kaplandığı İspanyol tatlısı.,TATLI,es,Un; Su; Tereyağı; Yumurta; Sıvı yağ; Şeker; Tarçın,"GLUTEN,SUT,YUMURTA","vejetaryen,misafir-sofrasi",Hamuru sıkma torbasına almadan 5 dakika dinlendirin; şekli daha düzgün çıkar.,Sıcak çikolata sosuyla servis edin.
ciborek,Çibörek,İnce hamurun kıymalı harçla kapatılıp kızartıldığı Kırım Tatar böreği.,YEMEK,tr,Un; Su; Dana kıyma; Soğan; Karabiber; Sıvı yağ; Tuz,GLUTEN,"misafir-sofrasi,butce-dostu",Hamuru ince açın ve kenarları sıkı bastırın; kızartırken harç dışarı çıkmaz.,Ayranla sıcak servis edin.
cig-kofte,Çiğ Köfte,"Etsiz, ince bulgurdan yapılan acılı ve baharatlı çiğ köfte.",APERATIF,tr,İnce bulgur; İsot (pul biber); Domates salçası; Biber salçası; Soğan (rendelenmiş); Taze soğan; Maydanoz; Zeytinyağı,GLUTEN,"vegan,30-dakika-alti,yaz-tarifi,vejetaryen",Çok yoğurun! En az 20 dakika yoğurma şart.,Marul yaprağı ve limon ile dürüm yaparak servis edin.
ciger-sote,Ciğer Sote,"Dana ciğerinin soğan, biber ve domatesle kısa sürede sotelenen pratik hali.",YEMEK,tr,Dana ciğeri; Soğan; Yeşil biber; Domates; Zeytinyağı; Pul biber; Lavaş,GLUTEN,yuksek-protein,Ciğeri yüksek ateşte kısa süre pişirin; uzun pişirme sertleştirir.,Sumaklı soğan ve lavaşla servis edin.
cilbir,Çılbır,"Poşe yumurta, sarımsaklı yoğurt ve biberli tereyağıyla hazırlanan klasik kahvaltılık.",KAHVALTI,tr,Yumurta; Yoğurt; Sarımsak; Tereyağı; Pul biber; Sirke; Tuz,"SUT,YUMURTA","vejetaryen,30-dakika-alti,yuksek-protein",Suyu kaynattıktan sonra altını kısın; fokurdayan suda yumurta dağılır.,Kızarmış ekmekle sıcak servis edin.
cilekli-kefir-smoothie,Çilekli Kefir Smoothie,"Kefir ve çileğin birleştiği bu serin içecek, kahvaltı arası için hafif ve canlı bir meyve tadı taşır.",ICECEK,tr,Kefir; Çilek; Bal; Muz,SUT,"vejetaryen,pratik,yaz-tarifi",Çileği dondurulmuş kullanırsanız buz eklemeden daha yoğun bir kıvam elde edersiniz.,Soğuk bardağa doldurup üstüne birkaç dilim çilek yerleştirin.
cilekli-magnolia,Çilekli Magnolia,"Vanilyalı muhallebi, bisküvi kırığı ve çilekle hazırlanan pratik kuplu tatlı.",TATLI,tr,Süt; Şeker; Un; Nişasta; Yumurta sarısı; Krema; Vanilin; Bebe bisküvisi,"GLUTEN,SUT,YUMURTA","vejetaryen,misafir-sofrasi",Muhallebiyi kuplara almadan önce 5 dakika çırpın; pürüzsüz ve hafif bir kıvam elde edilir.,En az 2 saat soğutup servis edin.
cilekli-smoothie,Çilekli Smoothie,"Çilek, yoğurt ve muzla hazırlanan kremamsı, serin ve pratik smoothie.",ICECEK,tr,Çilek; Muz; Yoğurt; Süt; Bal; Buz,SUT,"vejetaryen,30-dakika-alti,yaz-tarifi",Dondurulmuş çilek kullanırsanız buz eklemeden daha yoğun kıvam elde edilir.,Soğuk bardakta hemen servis edin.
cilekli-yulaf-smoothie,Çilekli Yulaf Smoothie,"Çilekli yulaf smoothie, yoğurtla bağlanan meyve tadını yulafla dengeler ve sabah için pratik bir bardak verir.",ICECEK,us,Çilek; Yoğurt; Yulaf; Bal,"GLUTEN,SUT","alkolsuz,vejetaryen",Çileği dondurulmuş kullanırsanız ek buz eklemeden koyu kıvam alırsınız.,Üzerine birkaç çilek parçası bırakarak servis edin.
cin-hot-pot,Çin Hot Pot,"Sichuan esintili hot pot, baharatlı et suyunda ince et, sebze ve mantarları sofrada pişirir.",YEMEK,cn,Dana eti; Tavuk suyu; Soya sosu; Susam ezmesi; Mantar,"SOYA,SUSAM",misafir-sofrasi,,
cin-usulu-yumurtali-pilav,Çin Usulü Yumurtalı Pilav,"Wok ateşinde soğuk pilav, yumurta ve bezelyenin tane tane kaldığı sade Çin klasiği.",YEMEK,cn,Pişmiş pirinç; Yumurta; Bezelye; Soya sosu; Yeşil soğan,"YUMURTA,SOYA","30-dakika-alti,pratik,vejetaryen",Pilavı tavaya yayarak ısıtın; sürekli sıkıştırmak taneleri kırar.,Yeşil soğanla sıcak servis edin.
cirpilmis-zeytin-salatasi,Çırpılmış Zeytin Salatası,"Hatay usulü çırpılmış zeytin, ceviz, nar ekşisi ve zeytinyağıyla kahvaltıya güçlü bir salata katar.",SALATA,th,Yeşil zeytin; Ceviz; Nar ekşisi; Zeytinyağı,KUSUYEMIS,"vegan,pratik,vejetaryen",,
